ticker,sector
NVDA,Information Technology
AAPL,Information Technology
MSFT,Information Technology
AMZN,Consumer Discretionary
GOOGL,Communication
AVGO,Information Technology
GOOG,Communication
META,Communication
TSLA,Consumer Discretionary
BRKB,Financials
JPM,Financials
LLY,Health Care
XOM,Energy
JNJ,Health Care
WMT,Consumer Staples
V,Financials
COST,Consumer Staples
NFLX,Communication
MU,Information Technology
MA,Financials
CVX,Energy
ABBV,Health Care
AMD,Information Technology
PG,Consumer Staples
CAT,Industrials
PLTR,Information Technology
BAC,Financials
HD,Consumer Discretionary
CSCO,Information Technology
MRK,Health Care
KO,Consumer Staples
GE,Industrials
AMAT,Information Technology
LRCX,Information Technology
RTX,Industrials
GS,Financials
UNH,Health Care
WFC,Financials
ORCL,Information Technology
PM,Consumer Staples
GEV,Industrials
LIN,Materials
IBM,Information Technology
INTC,Information Technology
MCD,Consumer Discretionary
PEP,Consumer Staples
VZ,Communication
C,Financials
KLAC,Information Technology
T,Communication
NEE,Utilities
MS,Financials
AMGN,Health Care
TMO,Health Care
TJX,Consumer Discretionary
ABT,Health Care
TXN,Information Technology
GILD,Health Care
DIS,Communication
CRM,Information Technology
AXP,Financials
COP,Energy
PFE,Health Care
ISRG,Health Care
BA,Industrials
SCHW,Financials
APH,Information Technology
ADI,Information Technology
BLK,Financials
UNP,Industrials
HON,Industrials
UBER,Industrials
ETN,Industrials
DE,Industrials
WELL,Real Estate
BKNG,Consumer Discretionary
QCOM,Information Technology
ANET,Information Technology
SPGI,Financials
PANW,Information Technology
LOW,Consumer Discretionary
LMT,Industrials
NEM,Materials
PLD,Real Estate
ACN,Information Technology
BMY,Health Care
DHR,Health Care
CB,Financials
INTU,Information Technology
GLW,Information Technology
PH,Industrials
PGR,Financials
SYK,Health Care
COF,Financials
VRTX,Health Care
MDT,Health Care
MO,Consumer Staples
CME,Financials
MCK,Health Care
SO,Utilities
NOW,Information Technology
DUK,Utilities
SBUX,Consumer Discretionary
CMCSA,Communication
WDC,Information Technology
SNDK,Information Technology
ADBE,Information Technology
VRT,Industrials
CRWD,Information Technology
EQIX,Real Estate
TMUS,Communication
TT,Industrials
NOC,Industrials
HWM,Industrials
ICE,Financials
BSX,Health Care
APP,Information Technology
CVS,Health Care
MRVL,Information Technology
GD,Industrials
FCX,Materials
WMB,Energy
WM,Industrials
CEG,Utilities
MRSH,Financials
BK,Financials
BX,Financials
